task_id,graph_name,task_type,question,expected_answer,metadata
graph_1_L1,graph_1,L1_direct_adjacency,Which spaces are directly connected to hall?,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]","{""room_x"": ""hall""}"
graph_1_L2,graph_1,L2_degree_comparison,Which space has more direct connections: living_room or dining_room?,"{""winner"": ""living_room"", ""degree_a"": 3, ""degree_b"": 2}","{""room_a"": ""living_room"", ""room_b"": ""dining_room""}"
graph_1_L3,graph_1,L3_two_step_reachability,Which spaces can be reached from hall in two steps or fewer? Exclude hall itself.,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]","{""room_x"": ""hall"", ""include_source"": false}"
graph_2_L1,graph_2,L1_direct_adjacency,Which spaces are directly connected to hall?,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]","{""room_x"": ""hall""}"
graph_2_L2,graph_2,L2_degree_comparison,Which space has more direct connections: living_room or dining_room?,"{""winner"": ""tie"", ""degree_a"": 2, ""degree_b"": 2}","{""room_a"": ""living_room"", ""room_b"": ""dining_room""}"
graph_2_L3,graph_2,L3_two_step_reachability,Which spaces can be reached from hall in two steps or fewer? Exclude hall itself.,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""hall_2"", ""kitchen"", ""living_room"", ""stair""]","{""room_x"": ""hall"", ""include_source"": false}"
graph_3_L1,graph_3,L1_direct_adjacency,Which spaces are directly connected to hall?,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""kitchen"", ""living_room"", ""stair""]","{""room_x"": ""hall""}"
graph_3_L2,graph_3,L2_degree_comparison,Which space has more direct connections: living_room or dining_room?,"{""winner"": ""living_room"", ""degree_a"": 4, ""degree_b"": 2}","{""room_a"": ""living_room"", ""room_b"": ""dining_room""}"
graph_3_L3,graph_3,L3_two_step_reachability,Which spaces can be reached from hall in two steps or fewer? Exclude hall itself.,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""kitchen"", ""living_room"", ""service_porch"", ""stair""]","{""room_x"": ""hall"", ""include_source"": false}"
graph_4_L1,graph_4,L1_direct_adjacency,Which spaces are directly connected to hall?,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""stair""]","{""room_x"": ""hall""}"
graph_4_L2,graph_4,L2_degree_comparison,Which space has more direct connections: living_room or dining_room?,"{""winner"": ""tie"", ""degree_a"": 3, ""degree_b"": 3}","{""room_a"": ""living_room"", ""room_b"": ""dining_room""}"
graph_4_L3,graph_4,L3_two_step_reachability,Which spaces can be reached from hall in two steps or fewer? Exclude hall itself.,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""living_room"", ""service_entry"", ""sleeping_porch"", ""stair"", ""sun_room""]","{""room_x"": ""hall"", ""include_source"": false}"
graph_5_L1,graph_5,L1_direct_adjacency,Which spaces are directly connected to hall_1?,"[""bath_room_1"", ""bed_room_1"", ""bed_room_2"", ""dining_room_1"", ""kitchen_1""]","{""room_x"": ""hall_1""}"
graph_5_L2,graph_5,L2_degree_comparison,Which space has more direct connections: living_room_1 or dining_room_1?,"{""winner"": ""living_room_1"", ""degree_a"": 3, ""degree_b"": 2}","{""room_a"": ""living_room_1"", ""room_b"": ""dining_room_1""}"
graph_5_L3,graph_5,L3_two_step_reachability,Which spaces can be reached from hall_1 in two steps or fewer? Exclude hall_1 itself.,"[""bath_room_1"", ""bed_room_1"", ""bed_room_2"", ""dining_room_1"", ""kitchen_1"", ""living_room_1"", ""service_porch_1""]","{""room_x"": ""hall_1"", ""include_source"": false}"
