condition,task_family,graph_name,task_id,task_type,question,expected_answer,n_runs,accuracy,pass_at_5,pass_5_all_correct,consistency_majority_correctness
kg,local,graph_1,graph_1_L1,L1_direct_adjacency,Which spaces are directly connected to hall?,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""living_room""]",5,1.0,1,1,1.0
kg,local,graph_1,graph_1_L2,L2_degree_comparison,Which space has more direct connections: living_room or dining_room?,"{""winner"": ""living_room"", ""degree_a"": 3, ""degree_b"": 2}",5,1.0,1,1,1.0
kg,local,graph_1,graph_1_L3,L3_two_step_reachability,Which spaces can be reached from hall in two steps or fewer? Exclude hall itself.,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""living_room""]",5,1.0,1,1,1.0
kg,local,graph_2,graph_2_L1,L1_direct_adjacency,Which spaces are directly connected to hall?,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""hall_2"", ""living_room"", ""stair""]",5,1.0,1,1,1.0
kg,local,graph_2,graph_2_L2,L2_degree_comparison,Which space has more direct connections: living_room or dining_room?,"{""winner"": ""tie"", ""degree_a"": 2, ""degree_b"": 2}",5,1.0,1,1,1.0
kg,local,graph_2,graph_2_L3,L3_two_step_reachability,Which spaces can be reached from hall in two steps or fewer? Exclude hall itself.,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""hall_2"", ""kitchen"", ""living_room"", ""stair""]",5,1.0,1,1,1.0
kg,local,graph_3,graph_3_L1,L1_direct_adjacency,Which spaces are directly connected to hall?,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""kitchen"", ""living_room"", ""stair""]",5,1.0,1,1,1.0
kg,local,graph_3,graph_3_L2,L2_degree_comparison,Which space has more direct connections: living_room or dining_room?,"{""winner"": ""living_room"", ""degree_a"": 4, ""degree_b"": 2}",5,1.0,1,1,1.0
kg,local,graph_3,graph_3_L3,L3_two_step_reachability,Which spaces can be reached from hall in two steps or fewer? Exclude hall itself.,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""front_porch"", ""kitchen"", ""living_room"", ""service_porch"", ""stair""]",5,1.0,1,1,1.0
kg,local,graph_4,graph_4_L1,L1_direct_adjacency,Which spaces are directly connected to hall?,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""stair""]",5,1.0,1,1,1.0
kg,local,graph_4,graph_4_L2,L2_degree_comparison,Which space has more direct connections: living_room or dining_room?,"{""winner"": ""tie"", ""degree_a"": 3, ""degree_b"": 3}",5,1.0,1,1,1.0
kg,local,graph_4,graph_4_L3,L3_two_step_reachability,Which spaces can be reached from hall in two steps or fewer? Exclude hall itself.,"[""bath_room"", ""bed_room_1"", ""bed_room_2"", ""dining_room"", ""kitchen"", ""living_room"", ""service_entry"", ""sleeping_porch"", ""stair"", ""sun_room""]",5,1.0,1,1,1.0
kg,local,graph_5,graph_5_L1,L1_direct_adjacency,Which spaces are directly connected to hall_1?,"[""bath_room_1"", ""bed_room_1"", ""bed_room_2"", ""dining_room_1"", ""kitchen_1""]",5,1.0,1,1,1.0
kg,local,graph_5,graph_5_L2,L2_degree_comparison,Which space has more direct connections: living_room_1 or dining_room_1?,"{""winner"": ""living_room_1"", ""degree_a"": 3, ""degree_b"": 2}",5,1.0,1,1,1.0
kg,local,graph_5,graph_5_L3,L3_two_step_reachability,Which spaces can be reached from hall_1 in two steps or fewer? Exclude hall_1 itself.,"[""bath_room_1"", ""bed_room_1"", ""bed_room_2"", ""dining_room_1"", ""kitchen_1"", ""living_room_1"", ""service_porch_1""]",5,1.0,1,1,1.0
